continent,location,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Asia,China,CHN,2023-01-07,1909905.0,9308.0,6316.143,5242.0,0.0,1.429,1339.45,6.528,4.43,3.676,0.0,0.001,1.02,,,,,,,,,9214000000.0,,6461.913,,14769984.0,10.358,0.0016,637.8,tests performed,3482965000.0,1307222000.0,1274018000.0,815718000.0,659000.0,695857.0,244.27,91.68,89.35,57.21,488.0,172733.0,0.012,71.76,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
Asia,Georgia,GEO,2023-01-07,1809359.0,539.0,77.0,16899.0,0.0,0.286,483219.274,143.949,20.564,4513.158,0.0,0.076,0.31,,,,,,,,,13652505.0,20318.0,3632.937,5.407,3491.0,0.929,0.0706,14.2,tests performed,2930677.0,1654504.0,1276173.0,80818.0,758.0,171.0,78.27,44.19,34.08,2.16,46.0,171.0,0.005,5.56,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,24314.8,21.55,-2.21,6493.66985499621
Asia,Hong Kong,HKG,2023-01-07,2755827.0,15850.0,18599.143,12276.0,72.0,67.0,367990.041,2116.476,2483.574,1639.234,9.614,8.947,,,,,,,,,,49426686.0,,6594.993,,72419.0,9.663,0.0038,262.5,tests performed,20348910.0,6908809.0,6787662.0,6652439.0,10101.0,14744.0,271.72,92.25,90.64,88.83,1969.0,293.0,0.004,11.11,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,14043.2,10.27,13.22,1875.21123032962
Asia,India,IND,2023-01-07,44681148.0,163.0,182.143,530720.0,2.0,2.143,31528.363,0.115,0.129,374.492,0.001,0.002,1.04,,,,,,,,,858526354.0,388641.0,609.938,0.276,442229.0,0.314,0.0278,35.9,samples tested,2201318312.0,1027224769.0,951264717.0,222828826.0,58354.0,46904.0,155.33,72.48,67.12,15.72,33.0,3402.0,0.0,28.7,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
Asia,Indonesia,IDN,2023-01-07,6723201.0,455.0,483.714,160679.0,6.0,9.571,24403.514,1.652,1.756,583.224,0.022,0.035,0.55,,,,,,,,,59503735.0,103179.0,217.363,0.377,114413.0,0.418,0.0837,11.9,people tested,443173913.0,203575051.0,172533762.0,67065100.0,0.0,82904.0,160.86,73.89,62.63,24.34,301.0,8685.0,0.003,32.03,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
Asia,Iran,IRN,2023-01-07,7561808.0,107.0,95.429,144706.0,2.0,3.0,85395.364,1.208,1.078,1634.162,0.023,0.034,1.28,,,,,,,,,52269202.0,76234.0,594.485,0.867,25540.0,0.29,0.0078,129.0,tests performed,154773070.0,65113292.0,58514580.0,31145198.0,31765.0,1298.0,174.78,73.53,66.08,35.17,15.0,303.0,0.0,53.94,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,261045.6,29.95,1.87,2947.9833489041
Asia,Iraq,IRQ,2023-01-07,2465545.0,155.0,62.571,25375.0,0.0,0.286,55410.332,3.483,1.406,570.274,0.0,0.006,0.11,,,,,,,,,19002710.0,20703.0,436.507,0.476,11852.0,0.272,0.0092,109.2,tests performed,19552980.0,11332925.0,7944775.0,275280.0,16843.0,1652.0,43.94,25.47,17.85,0.62,37.0,828.0,0.002,41.37,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
Asia,Israel,ISR,2023-01-07,4770235.0,558.0,937.0,12079.0,10.0,6.0,504840.195,59.054,99.164,1278.336,1.058,0.635,0.9,36.0,3.81,483.0,51.117,22.0,2.328,317.0,33.549,51780014.0,30887.0,5573.137,3.324,26227.0,2.823,0.333,3.0,people tested,18612384.0,6721409.0,6157681.0,5733294.0,407.0,1041.0,196.98,71.13,65.17,60.68,110.0,6.0,0.0,14.81,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,11753.9,8.79,-8.95,1243.93057466399
Asia,Japan,JPN,2023-01-07,30305173.0,238654.0,152928.0,59423.0,463.0,307.0,244491.798,1925.379,1233.771,479.404,3.735,2.477,0.92,1493.0,12.045,37029.0,298.737,,,,,53504941.0,138240.0,429.37,1.109,94925.0,0.762,0.1483,6.7,people tested,371992321.0,104548924.0,103145147.0,164298250.0,93293.0,28467.0,300.11,84.35,83.21,132.55,230.0,347.0,0.0,33.33,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,71506.6,1.76,8.71,576.890855934718
Asia,Jordan,JOR,2023-01-07,1746997.0,0.0,0.0,14122.0,0.0,0.0,154794.998,0.0,0.0,1251.299,0.0,0.0,-0.01,,,,,,,,,16803235.0,42668.0,1507.249,3.827,2541.0,0.228,0.0171,58.3,tests performed,10057975.0,4821579.0,4558313.0,682211.0,16423.0,1262.0,89.12,42.72,40.39,6.04,112.0,347.0,0.003,0.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,15042.4,26.22,43.87,1332.85190558995
